date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:56:59	6611/6611	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Dec%202022%2021:56:26%20GMT	https://coomy.cam/	C:/My%20Web%20Sites/coam/coomy.cam/index.html	(from )
16:57:00	85/85	---MCZ	200	added ('OK')	text/plain	etag:W/%2241-5df337eaac440%22	https://coomy.cam/robots.txt		(from )
16:57:00	171720/171720	---M-Z	200	added ('OK')	text/css	etag:%2229ec8-5d6920363e180-gzip%22	https://coomy.cam/assets/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/coam/coomy.cam/assets/bootstrap/css/bootstrap.min.css	(from https://coomy.cam/)
16:57:02	3316/3316	---M-Z	200	added ('OK')	text/css	etag:%225eb03f8b-cf4%22	https://cdnjs.cloudflare.com/ajax/libs/pikaday/1.6.1/css/pikaday.min.css	C:/My%20Web%20Sites/coam/cdnjs.cloudflare.com/ajax/libs/pikaday/1.6.1/css/pikaday.min.css	(from https://coomy.cam/)
16:57:02	177/177	---MCZ	200	added ('OK')	text/css	etag:W/%22b1-5d68811dac6c0%22	https://coomy.cam/assets/css/styles.min.css	C:/My%20Web%20Sites/coam/coomy.cam/assets/css/styles.min.css	(from https://coomy.cam/)
16:57:02	2081/2081	---MCZ	200	added ('OK')	text/css	etag:W/%22aaa-5d6a91f823f80-gzip%22	https://coomy.cam/assets/css/custom.css	C:/My%20Web%20Sites/coam/coomy.cam/assets/css/custom.css	(from https://coomy.cam/)
16:57:02	5194/5194	---M--	200	added ('OK')	image/png	etag:%22144a-5d69265150940%22	https://coomy.cam/assets/img/favicon.png	C:/My%20Web%20Sites/coam/coomy.cam/assets/img/favicon.png	(from https://coomy.cam/)
16:57:03	52789/52789	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-ce35%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	C:/My%20Web%20Sites/coam/cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	(from https://coomy.cam/)
16:57:03	156228/156228	---MCZ	200	added ('OK')	text/css	etag:W/%22aa1272633e7e552395d147a499bad186%22	https://pro.fontawesome.com/releases/v5.10.0/css/all.css	C:/My%20Web%20Sites/coam/pro.fontawesome.com/releases/v5.10.0/css/all.css	(from https://coomy.cam/)
16:57:03	6611/6611	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Dec%202022%2021:56:30%20GMT	https://coomy.cam/index.php	C:/My%20Web%20Sites/coam/coomy.cam/index-2.html	(from https://coomy.cam/)
16:57:03	38313/38313	---M--	200	added ('OK')	image/png	etag:%2295a9-5d68811dac6c0%22	https://coomy.cam/assets/img/avatars/logo1.png	C:/My%20Web%20Sites/coam/coomy.cam/assets/img/avatars/logo1.png	(from https://coomy.cam/)
16:57:04	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Dec%202022%2021:56:31%20GMT	https://coomy.cam/%22assets/img/tech/image6.png%22	C:/My%20Web%20Sites/coam/coomy.cam/_assets/img/tech/image6.png_	(from https://coomy.cam/)
16:57:04	89475/89475	---M-Z	200	added ('OK')	application/javascript	etag:%2215d83-5d68811dac6c0-gzip%22	https://coomy.cam/assets/js/jquery.min.js	C:/My%20Web%20Sites/coam/coomy.cam/assets/js/jquery.min.js	(from https://coomy.cam/)
16:57:04	80927/80927	---M-Z	200	added ('OK')	application/javascript	etag:%2213c1f-5d68811dac6c0-gzip%22	https://coomy.cam/assets/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/coam/coomy.cam/assets/bootstrap/js/bootstrap.min.js	(from https://coomy.cam/)
16:57:04	15510/15510	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f8b-3c96%22	https://cdnjs.cloudflare.com/ajax/libs/pikaday/1.6.1/pikaday.min.js	C:/My%20Web%20Sites/coam/cdnjs.cloudflare.com/ajax/libs/pikaday/1.6.1/pikaday.min.js	(from https://coomy.cam/)
16:57:05	63/63	---MCZ	200	added ('OK')	application/javascript	etag:W/%223f-5d68811dac6c0%22	https://coomy.cam/assets/js/script.min.js	C:/My%20Web%20Sites/coam/coomy.cam/assets/js/script.min.js	(from https://coomy.cam/)
16:57:05	12860/12860	---MCZ	200	added ('OK')	application/javascript	etag:W/%22323c-5d68811dac6c0%22	https://coomy.cam/assets/js/ion.sound.min.js	C:/My%20Web%20Sites/coam/coomy.cam/assets/js/ion.sound.min.js	(from https://coomy.cam/)
16:57:06	522/522	---MCZ	200	added ('OK')	application/javascript	etag:W/%223fb-5d68811dac6c0-gzip%22	https://coomy.cam/assets/js/custom.js	C:/My%20Web%20Sites/coam/coomy.cam/assets/js/custom.js	(from https://coomy.cam/)
